#YY  MM DD hh mm WVHT  SwH  SwP  WWH  WWP SwD WWD  STEEPNESS  APD MWD
#yr  mo dy hr mn    m    m  sec    m  sec  -  degT     -      sec degT
2023 11 29 19 26  0.8  0.3 10.5  0.8  8.3 NNE NNE    AVERAGE  4.8  18
2023 11 29 18 56  0.8  0.3 10.5  0.8  9.1 NNE NNE    AVERAGE  4.9  21
2023 11 29 18 26  0.8  0.3 11.8  0.7  9.1 NNE NNE    AVERAGE  4.9  19
2023 11 29 17 56  0.8  0.3 11.1  0.7  9.9 NNE NNE        N/A  5.5  33
2023 11 29 17 26  0.8  0.4 10.5  0.7  9.1 NNE  NE    AVERAGE  5.9  35
2023 11 29 16 56  0.8  0.3 10.5  0.7  9.1 NNE NNE        N/A  5.8  26
2023 11 29 16 26  0.8  0.3 11.1  0.7  8.3 NNE NNE        N/A  5.9  26
2023 11 29 15 56  0.8  0.4 11.1  0.7  9.9 NNE  NE        N/A  6.6  36
2023 11 29 15 26  0.8  0.4 11.8  0.8  9.9 NNE NNE    AVERAGE  7.2  19
2023 11 29 14 56  0.7  0.4 11.8  0.7  9.9 NNE NNE        N/A  6.8  24
2023 11 29 14 26  0.7  0.3 10.5  0.6  9.1 NNE NNE        N/A  6.2  32
2023 11 29 13 56  0.8  0.4 11.1  0.7  9.9 NNE NNE        N/A  6.7  21
2023 11 29 13 26  0.8  0.4 11.8  0.7  9.9 NNE NNE        N/A  6.8  24
2023 11 29 12 56  0.8  0.4 11.1  0.7  9.9 NNE NNE        N/A  6.8  25
2023 11 29 12 26  0.8  0.4 11.1  0.7  9.9 NNE  NE        N/A  6.5  36
2023 11 29 11 56  0.8  0.4 10.5  0.7  9.9 NNE  NE        N/A  6.3  36
2023 11 29 11 26  0.8  0.4 11.1  0.7  9.9 NNE NNE        N/A  6.7  18
2023 11 29 10 56  0.8  0.4 11.1  0.7  9.1 NNE   N    AVERAGE  6.7  11
2023 11 29 10 26  0.8  0.4 10.5  0.7  9.9  NE NNE    AVERAGE  6.8  31
2023 11 29 09 56  0.8  0.4 10.5  0.7  9.1 NNE   N        N/A  6.5  31
2023 11 29 09 26  0.9  0.5 11.8  0.8  9.9 NNE NNE    AVERAGE  6.7  14
2023 11 29 08 56  0.8  0.5 10.5  0.7  9.1 NNE   N    AVERAGE  6.6  25
2023 11 29 08 26  0.8  0.4 10.5  0.7  9.1 NNE   N    AVERAGE  6.4  26
2023 11 29 07 56  0.9  0.5 11.1  0.7  9.9 NNE NNE    AVERAGE  6.9  26
2023 11 29 07 26  0.9  0.5 11.1  0.8  9.9 NNE NNE    AVERAGE  6.8  22
2023 11 29 06 56  0.8  0.4 10.5  0.7  9.9 NNE NNE    AVERAGE  6.3  24
2023 11 29 06 26  0.8  0.4 11.1  0.7  9.9 NNE   N    AVERAGE  6.5   2
2023 11 29 05 56  0.8  0.4 11.1  0.7  9.9 NNE NNE    AVERAGE  6.1  14
2023 11 29 05 26  0.8  0.4 10.5  0.7  9.1 NNE   N    AVERAGE  6.1  32
2023 11 29 04 56  0.9  0.5 10.5  0.8  9.1 NNE   N    AVERAGE  6.3  28
2023 11 29 04 26  0.9  0.5 10.5  0.8  9.9   N NNE    AVERAGE  6.3  14
2023 11 29 03 56  0.8  0.4 10.5  0.8  9.9 NNE   N    AVERAGE  6.1  29
2023 11 29 03 26  0.9  0.5 12.5  0.8  9.1 NNE   N    AVERAGE  6.5  25
2023 11 29 02 56  0.9  0.5 11.1  0.8  9.9 NNE NNE    AVERAGE  6.2  15
2023 11 29 02 26  0.9  0.5 11.8  0.8  9.9 NNE NNE    AVERAGE  6.4  24
2023 11 29 01 56  0.9  0.6 11.1  0.8  9.9 NNE NNE    AVERAGE  6.3  33
2023 11 29 01 26  0.9  0.5 11.8  0.8  9.1 NNE NNE    AVERAGE  6.0  12
2023 11 29 00 56  1.0  0.5 10.5  0.8  9.9 NNE NNE    AVERAGE  6.3  19
2023 11 29 00 26  1.0  0.5 13.3  0.9  9.9 NNE   N    AVERAGE  5.9  10
2023 11 28 23 56  1.0  0.5 10.5  0.9  9.9 NNE   N    AVERAGE  5.9  10
2023 11 28 23 26  1.0  0.5 11.1  0.8  9.1 NNE   N    AVERAGE  5.8   5
2023 11 28 22 56  1.0  0.5 11.1  0.8  9.9 NNE   N    AVERAGE  5.8  11
2023 11 28 22 26  1.0  0.6 10.5  0.9  9.9 NNE   N    AVERAGE  6.0  10
2023 11 28 21 56  1.0  0.6 10.5  0.8  9.1 NNE   N    AVERAGE  5.9  21
2023 11 28 21 26  1.0  0.5 10.5  0.8  9.9 NNE NNW    AVERAGE  5.7  22
2023 11 28 20 56  1.1  0.7 10.5  0.9  9.9   N   N    AVERAGE  6.0  11
2023 11 28 20 26  1.1  0.6 11.1  0.9  9.9 NNE   N    AVERAGE  5.8  31
2023 11 28 19 56  1.1  0.5 13.3  0.9  9.9 NNE   N    AVERAGE  5.3   7
2023 11 28 19 26  1.1  0.6 10.5  0.9  9.9 NNE NNE    AVERAGE  5.5  15
2023 11 28 18 56  1.1  0.5 10.5  0.9  9.9   N   N    AVERAGE  5.4 351
2023 11 28 18 26  1.0  0.6 13.3  0.9  9.9 NNE   N    AVERAGE  5.8  18
2023 11 28 17 56  1.0  0.6 13.3  0.8  9.9 NNE   N    AVERAGE  6.0  18
2023 11 28 17 26  1.0  0.6 10.5  0.9  9.9   N   N    AVERAGE  5.9 358
2023 11 28 16 56  1.1  0.7 10.5  0.9  9.9   N   N    AVERAGE  6.5  11
2023 11 28 16 26  0.9  0.6 11.1  0.7  9.1 NNE NNE    AVERAGE  6.7  12
2023 11 28 15 56  1.0  0.7 12.5  0.8  9.9 NNE   N    AVERAGE  7.0  17
2023 11 28 15 26  0.9  0.6 12.5  0.8  9.9 NNE NNE    AVERAGE  6.7  24
2023 11 28 14 56  0.9  0.6 11.8  0.7  9.9 NNE   N    AVERAGE  7.5   8
2023 11 28 14 26  0.9  0.6 11.1  0.7  9.9 NNE   N    AVERAGE  7.3  14
2023 11 28 13 56  0.9  0.6 11.8  0.7  9.9 NNE   N    AVERAGE  7.3  22
2023 11 28 13 26  1.0  0.7 11.1  0.7  9.9 NNE NNE      SWELL  7.6  17
2023 11 28 12 56  0.9  0.7 12.5  0.7  9.9 NNE NNE      SWELL  7.5  26
2023 11 28 12 26  1.0  0.7 11.8  0.7  9.1 NNE NNE      SWELL  7.4  21
2023 11 28 11 56  0.9  0.6 11.8  0.7  9.9 NNE NNE    AVERAGE  7.4  19
2023 11 28 11 26  1.0  0.7 11.1  0.7  9.9 NNE NNE      SWELL  7.4  18
2023 11 28 10 56  1.0  0.7 12.5  0.7  9.9 NNE NNE      SWELL  7.3  18
2023 11 28 10 26  0.9  0.6 12.5  0.7  9.9 NNE NNE    AVERAGE  6.8  22
2023 11 28 09 56  0.9  0.6 11.8  0.7  9.1 NNE NNE    AVERAGE  7.1  15
